Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Field4,Field5,Field6
1,Unpolarized capacitor,C,C2 C4 C5 C7,10nF,C_Disc_D7.5mm_W2.5mm_P5.00mm,4,~,,,
2,Unpolarized capacitor,C,C1,22nF,C_Disc_D7.5mm_W2.5mm_P5.00mm,1,~,,,
3,Unpolarized capacitor,C,C6,33nF,C_Disc_D7.5mm_W2.5mm_P5.00mm,1,~,,,
4,Unpolarized capacitor,C,C3,39nF,C_Disc_D7.5mm_W2.5mm_P5.00mm,1,~,,,
5,Unpolarized capacitor,C,C8 C11,.1uF,C_Disc_D7.5mm_W2.5mm_P5.00mm,2,~,,,
6,Unpolarized capacitor,C,C9 C10,10uF,C_Disc_D7.5mm_W2.5mm_P5.00mm,2,~,,,
7,Diode,D,D1 D2,D,D_DO-35_SOD27_P7.62mm_Horizontal,2,~,,,
8,Light emitting diode,LED,D3,LED,LED_D5.0mm,1,~,,,
9,,EURO_PWR_2x5,J2,EURO_PWR_2x5,PinHeader_2x05_P2.54mm_Vertical,1,,,,
10,"Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)",AudioJack2_SwitchT,J1 J3 J4,TRIGGER_IN,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,3,~,,,
11,"0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92",BC548,Q2,BC548,TO-92_Inline,1,https://www.onsemi.com/pub/Collateral/BC550-D.pdf,,,
12,"0.1A Ic, 30V Vce, PNP Small Signal Transistor, TO-92",BC558,Q1,BC558,TO-92_Inline,1,https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf,,,
13,Resistor,R,R26,330R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~,,,
14,Resistor,R,R12,470R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~,,,
15,Resistor,R,R5 R6 R7 R22,1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,~,,,
16,Resistor,R,R15 R23 R25,4K7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,~,,,
17,Resistor,R,R9 R16 R17 R18 R21,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,~,,,
18,Resistor,R,R11 R14,22K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,~,,,
19,Resistor,R,R13,36K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~,,,
20,Resistor,R,R8,39K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~,,,
21,Resistor,R,R19,47K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~,,,
22,Resistor,R,R1 R2 R3,62K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,~,,,
23,Resistor,R,R24,100K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~,,,
24,Resistor,R,R20,150K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~,,,
25,Resistor,R,R4,470K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~,,,
26,Resistor,R,R10,1M,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~,,,
27,Trim-potentiometer,R_Potentiometer_Trim,RV5 RV6,10K,Potentiometer_Runtron_RM-065_Vertical,2,~,,,
28,Potentiometer,R_Potentiometer,RV1 RV2 RV3 RV4,47K lin,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,4,~,,,
29,,M2044SS1W03,S1,M2044SS1W03,SW_M2044SS1W03,1,30.9 mm,NKK Switches,5/9/18,Manufacturer Recommendations
30,"Push button switch, generic, two pins",SW_Push,SW2,SW_Push,SW_PUSH_6mm_H5mm,1,~,,,
31,"ADSR Voltage Controlled Envelope Generator, DIP-16/SOIC-16",AS3310,U2,AS3310,DIP-16_W7.62mm,1,http://www.alfarzpp.lv/eng/sc/AS3310.pdf,,,
32,"Low-Power, Dual Operational Amplifiers, DIP-8/SOIC-8/TO-99-8",LM358,U1 U3,LM358,DIP-8_W7.62mm,2,http://www.ti.com/lit/ds/symlink/lm2904-n.pdf,,,
33,"Operational Amplifier, DIP-8/TO-99-8",LM741,U4,LM741,DIP-8_W7.62mm,1,http://www.ti.com/lit/ds/symlink/lm741.pdf,,,





Component Groups:,33
Component Count:,58
Fitted Components:,58
Number of PCBs:,1
Total components:,58
Schematic Version:,1
Schematic Date:,2020-11-01
PCB Variant:,default
BoM Date:,Sun 08 Nov 2020 06:55:45 PM CET
Schematic Source:,AS3310-ADSR.sch
KiCad Version:,Eeschema 5.1.7
